level_0,t,r,Is,p_1,X1_t,Sigma1_coeff,delta,X1_t_orig,X2_t,dcof,Sigma1_coeff_k
94,0.5,0.7000000000000001,157.0,0.5,2.215005643333669,0.00390625,0.25,3.132491021535417,1.8532066803246747,0.0,4
95,0.5,0.7000000000000001,157.0,0.75,2.215005643333669,0.00390625,0.25,3.132491021535417,1.8532066803246747,0.0,4
96,0.5,0.75,157.0,0.25,2.215005643333669,0.00390625,0.25,3.132491021535417,1.918251156652851,0.0,4
97,0.5,0.75,157.0,0.5,2.215005643333669,0.00390625,0.25,3.132491021535417,1.918251156652851,0.0,4
98,0.5,0.75,157.0,0.75,2.215005643333669,0.00390625,0.25,3.132491021535417,1.918251156652851,0.0,4
99,0.5,0.8,157.0,0.25,2.215005643333669,0.00390625,0.25,3.132491021535417,1.9811612756158952,0.0,4
100,0.5,0.8,157.0,0.5,2.215005643333669,0.00390625,0.25,3.132491021535417,1.9811612756158952,0.0,4
101,0.5,0.8,157.0,0.75,2.215005643333669,0.00390625,0.25,3.132491021535417,1.9811612756158952,0.0,4
102,0.5,0.85,157.0,0.25,2.215005643333669,0.00390625,0.25,3.132491021535417,2.0421343001869396,0.0,4
103,0.5,0.85,157.0,0.5,2.215005643333669,0.00390625,0.25,3.132491021535417,2.0421343001869396,0.0,4
104,0.5,0.85,157.0,0.75,2.215005643333669,0.00390625,0.25,3.132491021535417,2.0421343001869396,0.0,4
105,0.5,0.9,157.0,0.25,2.215005643333669,0.00390625,0.25,3.132491021535417,2.101338858918285,0.0,4
106,0.5,0.9,157.0,0.5,2.215005643333669,0.00390625,0.25,3.132491021535417,2.101338858918285,0.0,4
107,0.5,0.9,157.0,0.75,2.215005643333669,0.00390625,0.25,3.132491021535417,2.101338858918285,0.0,4
108,0.5,0.9500000000000001,157.0,0.25,2.215005643333669,0.00390625,0.25,3.132491021535417,2.1589204478164548,0.0,4
109,0.5,0.9500000000000001,157.0,0.5,2.215005643333669,0.00390625,0.25,3.132491021535417,2.1589204478164548,0.0,4
110,0.5,0.9500000000000001,157.0,0.75,2.215005643333669,0.00390625,0.25,3.132491021535417,2.1589204478164548,0.0,4
111,0.5,1.0,157.0,0.25,2.215005643333669,0.00390625,0.25,3.132491021535417,2.215005643333669,0.0,4
112,0.5,1.0,157.0,0.5,2.215005643333669,0.00390625,0.25,3.132491021535417,2.215005643333669,0.0,4
113,0.5,1.0,157.0,0.75,2.215005643333669,0.00390625,0.25,3.132491021535417,2.215005643333669,0.0,4
