level_0,t,r,Is,p_1,X1_t,Sigma1_coeff,delta,X1_t_orig,X2_t,dcof,Sigma1_coeff_k
14,0.25,0.30000000000000004,261.0,0.75,1.6155494421403511,0.0025000000000000005,0.2,3.2310988842807022,2.7431059038979884,0.6,4
15,0.25,0.35,261.0,0.25,1.6155494421403511,0.0025000000000000005,0.2,3.2310988842807022,2.8195272210070965,0.6,4
16,0.25,0.35,261.0,0.5,1.6155494421403511,0.0025000000000000005,0.2,3.2310988842807022,2.8195272210070965,0.6,4
17,0.25,0.35,261.0,0.75,1.6155494421403511,0.0025000000000000005,0.2,3.2310988842807022,2.8195272210070965,0.6,4
18,0.25,0.4,261.0,0.25,1.6155494421403511,0.0025000000000000005,0.2,3.2310988842807022,2.860936909475635,0.6,4
19,0.25,0.4,261.0,0.5,1.6155494421403511,0.0025000000000000005,0.2,3.2310988842807022,2.860936909475635,0.6,4
20,0.25,0.4,261.0,0.75,1.6155494421403511,0.0025000000000000005,0.2,3.2310988842807022,2.860936909475635,0.6,4
21,0.25,0.45000000000000007,261.0,0.25,1.6155494421403511,0.0025000000000000005,0.2,3.2310988842807022,2.8719203070419623,0.6,4
22,0.25,0.45000000000000007,261.0,0.5,1.6155494421403511,0.0025000000000000005,0.2,3.2310988842807022,2.8719203070419623,0.6,4
23,0.25,0.45000000000000007,261.0,0.75,1.6155494421403511,0.0025000000000000005,0.2,3.2310988842807022,2.8719203070419623,0.6,4
24,0.25,0.5,261.0,0.25,1.6155494421403511,0.0025000000000000005,0.2,3.2310988842807022,2.8559149146989653,0.6,4
25,0.25,0.5,261.0,0.5,1.6155494421403511,0.0025000000000000005,0.2,3.2310988842807022,2.8559149146989653,0.6,4
26,0.25,0.5,261.0,0.75,1.6155494421403511,0.0025000000000000005,0.2,3.2310988842807022,2.8559149146989653,0.6,4
27,0.25,0.55,261.0,0.25,1.6155494421403511,0.0025000000000000005,0.2,3.2310988842807022,2.8155903022279354,0.6,4
28,0.25,0.55,261.0,0.5,1.6155494421403511,0.0025000000000000005,0.2,3.2310988842807022,2.8155903022279354,0.6,4
29,0.25,0.55,261.0,0.75,1.6155494421403511,0.0025000000000000005,0.2,3.2310988842807022,2.8155903022279354,0.6,4
30,0.25,0.6,261.0,0.25,1.6155494421403511,0.0025000000000000005,0.2,3.2310988842807022,2.7530782771290756,0.6,4
31,0.25,0.6,261.0,0.5,1.6155494421403511,0.0025000000000000005,0.2,3.2310988842807022,2.7530782771290756,0.6,4
32,0.25,0.6,261.0,0.75,1.6155494421403511,0.0025000000000000005,0.2,3.2310988842807022,2.7530782771290756,0.6,4
33,0.25,0.65,261.0,0.25,1.6155494421403511,0.0025000000000000005,0.2,3.2310988842807022,2.670120081569366,0.6,4
34,0.25,0.65,261.0,0.5,1.6155494421403511,0.0025000000000000005,0.2,3.2310988842807022,2.670120081569366,0.6,4
35,0.25,0.65,261.0,0.75,1.6155494421403511,0.0025000000000000005,0.2,3.2310988842807022,2.670120081569366,0.6,4
36,0.25,0.7000000000000001,261.0,0.25,1.6155494421403511,0.0025000000000000005,0.2,3.2310988842807022,2.568164714343688,0.6,4
37,0.25,0.7000000000000001,261.0,0.5,1.6155494421403511,0.0025000000000000005,0.2,3.2310988842807022,2.568164714343688,0.6,4
38,0.25,0.7000000000000001,261.0,0.75,1.6155494421403511,0.0025000000000000005,0.2,3.2310988842807022,2.568164714343688,0.6,4
39,0.25,0.75,261.0,0.25,1.6155494421403511,0.0025000000000000005,0.2,3.2310988842807022,2.4484370014358134,0.6,4
40,0.25,0.75,261.0,0.5,1.6155494421403511,0.0025000000000000005,0.2,3.2310988842807022,2.4484370014358134,0.6,4
41,0.25,0.75,261.0,0.75,1.6155494421403511,0.0025000000000000005,0.2,3.2310988842807022,2.4484370014358134,0.6,4
42,0.25,0.8,261.0,0.25,1.6155494421403511,0.0025000000000000005,0.2,3.2310988842807022,2.3119861591281206,0.6,4
43,0.25,0.8,261.0,0.5,1.6155494421403511,0.0025000000000000005,0.2,3.2310988842807022,2.3119861591281206,0.6,4
44,0.25,0.8,261.0,0.75,1.6155494421403511,0.0025000000000000005,0.2,3.2310988842807022,2.3119861591281206,0.6,4
45,0.25,0.85,261.0,0.25,1.6155494421403511,0.0025000000000000005,0.2,3.2310988842807022,2.159721336191315,0.6,4
